epochs steps out_loss offset_loss train_accuracy time
11 79 0.185 501.813 0.950 1968.184
11 80 0.185 506.966 0.943 1971.399
11 81 0.195 482.225 0.950 1974.644
11 82 0.256 479.330 0.921 1977.870
11 83 0.205 485.186 0.947 1981.088
11 84 0.174 477.454 0.955 1984.313
11 85 0.182 464.180 0.943 1987.669
11 86 0.198 497.383 0.936 1990.894
11 87 0.155 452.986 0.954 1994.052
11 88 0.240 472.197 0.924 1997.262
11 89 0.137 469.651 0.960 2000.429
11 90 0.137 486.259 0.960 2003.601
11 91 0.208 481.603 0.947 2006.740
11 92 0.199 459.551 0.942 2009.884
11 93 0.169 486.494 0.953 2013.066
11 94 0.184 457.759 0.949 2016.297
11 95 0.189 474.293 0.940 2019.643
11 96 0.177 487.967 0.953 2022.829
11 97 0.195 470.715 0.949 2025.983
11 98 0.181 478.872 0.955 2029.164
11 99 0.172 482.245 0.957 2032.393
11 100 0.176 501.932 0.949 2035.675
11 101 0.170 494.777 0.953 2039.081
11 102 0.187 471.917 0.946 2042.414
11 103 0.200 474.229 0.943 2045.691
11 104 0.202 449.700 0.941 2049.003
11 105 0.191 488.280 0.950 2052.203
11 106 0.183 503.770 0.951 2055.389
11 107 0.161 478.674 0.957 2058.583
11 108 0.185 509.096 0.947 2061.790
11 109 0.193 474.834 0.942 2064.947
11 110 0.167 531.757 0.952 2068.124
11 111 0.217 453.138 0.927 2071.293
11 112 0.225 478.484 0.929 2074.505
11 113 0.172 479.697 0.944 2077.709
11 114 0.168 492.762 0.957 2080.919
11 115 0.184 475.994 0.950 2084.145
11 116 0.183 509.201 0.948 2087.351
11 117 0.202 508.358 0.938 2090.547
11 118 0.177 483.303 0.953 2093.774
11 119 0.178 500.092 0.951 2096.997
11 120 0.173 497.410 0.952 2100.190
11 121 0.209 511.941 0.946 2103.403
11 122 0.173 503.801 0.953 2106.609
11 123 0.174 474.857 0.948 2109.866
11 124 0.182 488.866 0.942 2113.122
11 125 0.156 470.201 0.957 2116.332
11 126 0.155 470.322 0.955 2119.512
11 127 0.167 487.565 0.953 2122.694
11 128 0.230 464.641 0.934 2125.954
11 129 0.205 445.200 0.935 2129.094
11 130 0.172 461.288 0.947 2132.187
11 131 0.219 389.505 0.926 2135.330
11 132 0.167 440.935 0.950 2138.507
11 133 0.130 456.881 0.961 2141.610
11 134 0.132 467.342 0.960 2144.819
11 135 0.147 457.455 0.955 2148.015
11 136 0.157 487.940 0.953 2151.541
11 137 0.304 473.966 0.933 2156.216
11 138 0.167 513.583 0.953 2160.891
11 139 0.213 473.802 0.934 2165.700
11 140 0.191 490.503 0.937 2170.481
11 141 0.189 480.406 0.936 2175.289
11 142 0.238 474.239 0.926 2180.135
11 143 0.180 448.818 0.943 2184.977
11 144 0.143 462.254 0.964 2189.640
11 145 0.158 461.635 0.952 2194.322
11 146 0.245 458.931 0.932 2197.826
11 147 0.318 485.573 0.911 2202.418
11 148 0.192 463.763 0.947 2207.054
11 149 0.178 455.635 0.953 2211.661
11 150 0.172 485.675 0.952 2216.228
11 151 0.128 481.651 0.968 2220.777
11 152 0.197 486.702 0.938 2225.403
11 153 0.194 522.415 0.948 2229.971
11 154 0.209 491.070 0.943 2233.504
11 155 0.233 493.822 0.923 2238.253
11 156 0.285 491.020 0.931 2242.979
11 157 0.264 450.309 0.920 2247.999
11 158 0.299 502.203 0.917 2252.788
11 159 0.307 472.805 0.914 2257.996
11 160 0.172 475.412 0.951 2262.828
11 161 0.292 461.308 0.933 2267.505
11 162 0.184 461.889 0.954 2270.996
11 163 0.191 459.998 0.936 2275.610
11 164 0.170 474.790 0.952 2280.231
11 165 0.289 456.718 0.922 2284.804
11 166 0.226 426.146 0.929 2288.379
11 167 1.007 468.526 0.753 2293.035
11 168 0.195 467.078 0.949 2296.609
11 169 0.124 470.860 0.964 2300.139
11 170 0.134 469.310 0.967 2303.676
11 171 0.123 471.978 0.966 2307.184
11 172 0.224 494.963 0.931 2311.751
11 173 0.253 476.211 0.915 2316.381
12 0 0.142 447.652 0.958 2491.004
12 1 0.126 470.809 0.959 2494.287
12 2 0.166 505.695 0.954 2497.603
12 3 0.178 487.376 0.945 2501.020
12 4 0.162 494.241 0.951 2504.526
12 5 0.158 485.082 0.956 2507.884
12 6 0.150 495.546 0.955 2511.314
12 7 0.151 499.756 0.959 2514.788
12 8 0.170 472.240 0.952 2518.213
12 9 0.155 476.823 0.951 2521.598
12 10 0.180 481.687 0.942 2524.958
12 11 0.160 476.788 0.952 2528.338
12 12 0.181 447.979 0.943 2531.678
12 13 0.155 484.757 0.955 2535.059
12 14 0.147 492.283 0.956 2538.378
12 15 0.140 487.631 0.962 2541.699
12 16 0.172 476.400 0.948 2545.027
12 17 0.165 473.052 0.947 2548.340
12 18 0.178 470.328 0.948 2551.646
12 19 0.164 460.542 0.947 2555.016
12 20 0.165 465.911 0.948 2558.362
12 21 0.169 460.371 0.946 2561.701
12 22 0.158 468.871 0.954 2565.091
12 23 0.163 474.181 0.953 2568.421
12 24 0.161 485.458 0.953 2571.735
12 25 0.153 471.508 0.953 2575.080
12 26 0.166 478.407 0.947 2578.470
12 27 0.147 440.209 0.957 2581.735
12 28 0.166 483.011 0.948 2585.051
12 29 0.151 475.883 0.955 2588.339
12 30 0.152 479.785 0.950 2591.774
12 31 0.146 479.935 0.958 2595.122
12 32 0.164 468.416 0.940 2598.548
12 33 0.170 458.329 0.944 2601.938
12 34 0.195 485.969 0.931 2605.314
12 35 0.218 491.502 0.923 2608.700
12 36 0.200 474.604 0.927 2612.017
12 37 0.226 482.833 0.918 2615.343
12 38 0.216 461.213 0.926 2618.695
12 39 0.220 463.843 0.917 2621.993
12 40 0.185 494.310 0.937 2625.318
12 41 0.203 454.335 0.927 2628.698
12 42 0.203 465.071 0.927 2632.001
12 43 0.217 454.019 0.921 2635.327
12 44 0.205 466.052 0.926 2638.628
12 45 0.189 473.494 0.935 2641.971
12 46 0.194 476.842 0.928 2645.259
12 47 0.192 484.092 0.934 2648.549
12 48 0.206 475.315 0.926 2651.838
12 49 0.233 492.359 0.917 2655.154
12 50 0.215 459.829 0.921 2658.491
12 51 0.183 494.819 0.942 2661.795
12 52 0.335 446.453 0.899 2665.112
12 53 0.212 453.759 0.928 2668.449
12 54 0.175 446.030 0.943 2671.776
12 55 0.199 489.383 0.931 2675.157
12 56 0.184 480.480 0.942 2678.489
12 57 0.204 467.342 0.929 2681.774
12 58 0.194 456.234 0.936 2685.098
12 59 0.198 478.565 0.929 2688.447
12 60 0.197 448.343 0.931 2691.802
12 61 0.172 475.914 0.944 2695.112
12 62 0.167 475.114 0.944 2698.462
12 63 0.167 470.922 0.943 2701.829
12 64 0.169 466.090 0.948 2705.284
12 65 0.140 484.019 0.958 2708.724
12 66 0.164 468.937 0.950 2712.034
12 67 0.149 477.694 0.958 2715.400
12 68 0.161 506.087 0.954 2718.712
12 69 0.154 481.214 0.956 2722.025
12 70 0.159 470.414 0.956 2725.353
12 71 0.161 487.938 0.952 2728.725
12 72 0.219 476.284 0.940 2732.021
12 73 0.243 488.405 0.935 2735.425
12 74 0.169 485.617 0.957 2738.768
12 75 0.198 455.816 0.943 2742.156
12 76 0.190 485.026 0.949 2745.477
12 77 0.181 445.484 0.950 2748.771
12 78 0.151 502.171 0.962 2752.112
12 79 0.169 504.765 0.951 2755.383
12 80 0.176 510.649 0.952 2758.701
12 81 0.189 503.106 0.942 2762.004
12 82 0.225 454.611 0.935 2765.324
12 83 0.210 486.225 0.941 2768.629
12 84 0.167 491.020 0.953 2771.937
12 85 0.161 481.655 0.955 2775.367
12 86 0.179 484.165 0.946 2778.683
12 87 0.132 476.919 0.964 2781.927
12 88 0.237 466.311 0.929 2785.227
12 89 0.137 482.172 0.962 2788.476
12 90 0.122 479.500 0.969 2791.713
12 91 0.210 495.324 0.944 2794.941
12 92 0.183 508.201 0.947 2798.157
12 93 0.147 476.904 0.957 2801.422
12 94 0.157 487.860 0.960 2804.720
12 95 0.185 456.964 0.938 2808.145
12 96 0.151 482.332 0.962 2811.432
12 97 0.177 475.970 0.952 2814.666
12 98 0.173 492.059 0.953 2817.918
12 99 0.157 457.691 0.959 2821.231
12 100 0.181 482.724 0.951 2824.590
12 101 0.159 482.441 0.956 2828.081
12 102 0.172 473.134 0.952 2831.496
12 103 0.166 464.302 0.957 2834.862
12 104 0.182 453.810 0.945 2838.264
12 105 0.181 483.863 0.950 2841.540
12 106 0.154 507.337 0.961 2844.800
12 107 0.153 458.480 0.961 2848.069
12 108 0.183 508.518 0.942 2851.360
12 109 0.174 487.484 0.950 2854.601
12 110 0.160 469.647 0.957 2857.859
12 111 0.172 461.067 0.948 2861.113
12 112 0.205 495.004 0.933 2864.406
12 113 0.168 469.321 0.954 2867.702
12 114 0.154 461.057 0.957 2870.983
12 115 0.156 485.516 0.959 2874.278
12 116 0.170 493.464 0.955 2877.564
12 117 0.170 473.854 0.956 2880.834
12 118 0.165 479.105 0.954 2884.142
12 119 0.158 502.151 0.957 2887.449
12 120 0.153 509.171 0.960 2890.724
12 121 0.172 490.915 0.955 2894.031
12 122 0.166 466.475 0.952 2897.315
12 123 0.164 458.580 0.954 2900.642
12 124 0.169 468.580 0.952 2903.980
12 125 0.151 496.262 0.958 2907.265
12 126 0.136 505.056 0.963 2910.512
12 127 0.152 485.870 0.962 2913.763
12 128 0.208 456.366 0.944 2917.132
12 129 0.200 444.892 0.936 2920.346
12 130 0.160 468.744 0.951 2923.539
12 131 0.191 431.563 0.945 2926.753
12 132 0.158 450.129 0.955 2930.015
12 133 0.127 456.024 0.965 2933.205
12 134 0.131 497.442 0.961 2936.490
12 135 0.139 521.200 0.958 2939.758
12 136 0.140 482.869 0.968 2943.390
12 137 0.295 477.203 0.933 2948.187
12 138 0.143 484.399 0.959 2952.992
12 139 0.201 514.168 0.941 2957.920
12 140 0.196 480.757 0.941 2962.838
12 141 0.199 467.238 0.938 2967.776
12 142 0.217 499.480 0.932 2972.726
12 143 0.162 451.744 0.955 2977.688
12 144 0.130 469.935 0.968 2982.484
12 145 0.138 446.767 0.961 2987.286
12 146 0.210 474.259 0.947 2990.879
12 147 0.301 506.497 0.920 2995.600
12 148 0.176 468.362 0.950 3000.363
