frame,num_points,centroid_x,centroid_y,centroid_z,axis1,axis2,axis3,obb_dx,obb_dy,obb_dz,obb_volume
frame_0134_overlay_go1_uncertainty_clean.ply,93,8.626921,-0.9905274,-1.1183445,0.28705195,0.20145334,0.082400985,0.48798832,0.3424707,0.14008167,0.02341068908572197
frame_0135_overlay_go1_uncertainty_clean.ply,52,9.008778,-0.7575614,-1.0639974,0.30933127,0.15414792,0.086748876,0.5258632,0.26205146,0.1474731,0.020322266966104507
frame_0136_overlay_go1_uncertainty_clean.ply,85,8.543316,-1.0600686,-1.1396849,0.21808213,0.2039245,0.11677027,0.37073964,0.34667167,0.19850945,0.025513414293527603
frame_0138_overlay_go1_uncertainty_clean.ply,87,8.485916,-1.0984051,-1.1348397,0.22235061,0.21520366,0.13463834,0.37799606,0.36584622,0.22888519,0.03165217116475105
frame_0139_overlay_go1_uncertainty_clean.ply,56,8.485959,-1.1368626,-1.1364512,0.22681952,0.173923,0.1418083,0.38559318,0.2956691,0.24107412,0.02748437412083149
frame_0140_overlay_go1_uncertainty_clean.ply,121,8.536193,-1.0282459,-1.1364615,0.32781777,0.20736946,0.10644489,0.5572902,0.3525281,0.18095632,0.035550761967897415
frame_0141_overlay_go1_uncertainty_clean.ply,97,8.818068,-0.37105545,-1.2318305,2.5871062,1.6579984,0.32386857,4.398081,2.8185973,0.55057657,6.8251776695251465
frame_0142_overlay_go1_uncertainty_clean.ply,80,8.818864,-0.29105484,-1.2621484,2.5772016,1.6538771,0.23970231,4.3812428,2.8115911,0.40749395,5.019617557525635
frame_0143_overlay_go1_uncertainty_clean.ply,91,8.478135,-0.3314932,-1.2289681,2.7065132,2.0858097,0.28889567,4.6010723,3.5458765,0.49112263,8.012584686279297
frame_0144_overlay_go1_uncertainty_clean.ply,91,8.290203,-0.6869866,-1.2261902,3.2312055,1.3442112,0.22832124,5.4930496,2.285159,0.38814613,4.872201442718506
frame_0146_overlay_go1_uncertainty_clean.ply,102,8.670967,-0.27711752,-1.2115978,2.304024,1.8925359,0.29649255,3.9168408,3.2173111,0.5040373,6.351724624633789
