frame,centroid_x,centroid_y,centroid_z,robot_points,window_start,window_end
0486,9.043893,-1.3146701,-1.0643588,46,472,486
0487,9.080659,-1.2741003,-1.0837021,50,473,487
0488,8.283296,-0.78499806,-1.1855651,81,474,488
0489,9.071102,-1.1855028,-1.094248,58,475,489
0490,9.064005,-1.1354787,-1.0762647,47,476,490
0491,9.076833,-1.0830294,-1.0738782,45,477,491
0492,9.074754,-1.0324012,-1.0614163,39,478,492
0493,9.097913,-1.0568142,-1.0953262,59,479,493
0494,9.093398,-0.97687596,-1.0558733,40,480,494
0495,9.132891,-1.0182124,-1.0880044,54,481,495
0498,9.102414,-0.90331227,-1.0507666,37,484,498
0500,9.163071,-0.9448242,-1.0685754,39,486,500
0501,8.749504,-0.2546054,-1.2310107,104,487,501
0502,9.157265,-0.11864111,-1.2146934,51,488,502
0503,9.155935,-0.18905641,-1.2061784,58,489,503
0505,8.576983,-0.40670466,-1.2450635,85,491,505
0506,8.830269,-0.17049679,-1.2254257,85,492,506
0507,9.044205,-1.0419878,-1.1127468,55,493,507
0508,9.025038,-1.0716993,-1.0848361,52,494,508
0509,9.054007,-1.1313257,-1.1035005,56,495,509
0510,8.732636,-0.38862795,-1.1795676,95,496,510
0511,9.01714,-1.1314094,-1.0980799,60,497,511
0512,9.026593,-1.1617517,-1.105146,57,498,512
0513,8.99595,-1.1743902,-1.065116,42,499,513
0514,9.013009,-1.2172242,-1.0851105,49,500,514
0515,9.030025,-1.2446077,-1.0915022,55,501,515
0516,9.042044,-1.2546607,-1.1007555,40,502,516
0517,8.841663,-0.55117613,-1.1917472,97,503,517
0518,8.750854,-0.47006586,-1.2234184,113,504,518
0519,8.721852,-0.45121437,-1.2018583,91,505,519
0520,8.619451,-0.2491682,-1.2375793,79,506,520
0521,8.628491,-0.27991673,-1.2188364,95,507,521
0522,8.604601,-0.30669782,-1.2103772,95,508,522
0523,8.790999,-0.5509689,-1.1877593,59,509,523
0524,8.512486,-0.35900044,-1.1829977,74,510,524
0525,8.937532,-0.06888856,-1.2580308,79,511,525
0526,8.546196,-0.19806595,-1.233121,98,512,526
0527,9.027465,-0.068971,-1.2351185,53,513,527
0528,8.3704815,-0.32552448,-1.1968287,69,514,528
0529,8.781412,-0.371256,-1.2265365,63,515,529
0530,8.666413,-0.33511034,-1.2355108,84,516,530
0531,8.77075,-0.445816,-1.1932967,111,517,531
0534,8.569822,-0.6490168,-1.1934149,109,520,534
0536,8.699404,-0.30166698,-1.2085364,66,522,536
0537,8.8577,-0.115985245,-1.2437139,78,523,537
0538,8.352385,-0.3738624,-1.2038,99,524,538
0539,8.642348,-0.47083977,-1.2117878,88,525,539
0540,8.756186,-0.55164397,-1.2086492,92,526,540
0546,8.906229,-1.1587417,-1.1131219,57,532,546
0547,8.887258,-1.132202,-1.0988051,42,533,547
0548,8.855048,-1.1478503,-1.1028683,40,534,548
0550,8.4574795,-0.393371,-1.2092577,75,536,550
0552,8.86784,-1.2564974,-1.1235979,41,538,552
0553,8.850544,-0.43341956,-1.2079808,103,539,553
0554,8.726558,-0.6116909,-1.2279294,97,540,554
0556,8.452166,-0.36968952,-1.1901977,84,542,556
0557,8.754486,-0.31680638,-1.2254478,77,543,557
0558,8.48957,-0.39751995,-1.2048079,69,544,558
0560,8.8083315,-1.1206568,-1.1011672,38,546,560
0562,8.795334,-1.0691745,-1.1215633,45,548,562
0563,8.827814,-1.0641087,-1.1124573,55,549,563
0564,8.813621,-0.97986335,-1.0856977,44,550,564
0565,8.796931,-0.96162736,-1.0884622,47,551,565
0566,8.818278,-0.9152736,-1.1126572,51,552,566
0568,8.824156,-0.83937144,-1.1118773,52,554,568
0569,8.841897,-0.8157806,-1.1186652,55,555,569
0570,8.835183,-0.84089553,-1.1282885,58,556,570
0571,8.815763,-0.8082665,-1.099278,50,557,571
0572,8.636483,-0.22416924,-1.2096826,90,558,572
0573,8.625509,-0.16348776,-1.2080909,74,559,573
0574,8.721808,-0.1842127,-1.2266275,93,560,574
0577,8.970968,-0.8664132,-1.111491,53,563,577
0578,9.039537,-0.86881137,-1.1292971,54,564,578
0579,9.090762,-0.88366014,-1.0922114,60,565,579
0580,9.121081,-0.8670178,-1.118061,60,566,580
0581,9.179082,-0.89647377,-1.108176,52,567,581
0582,9.248511,-0.9061811,-1.0877599,52,568,582
0583,9.315071,-0.89828587,-1.0861332,48,569,583
0584,9.372131,-0.9044922,-1.0991619,51,570,584
0585,9.577072,-0.9311997,-1.0552214,48,571,585
0586,9.673917,-0.9482135,-1.074034,53,572,586
0587,9.749712,-0.9577397,-1.0522012,52,573,587
0588,9.799725,-0.9352558,-1.0402154,46,574,588
0590,9.888237,-0.94982606,-1.052916,54,576,590
0592,10.042051,-0.9604139,-1.0340675,42,578,592
0593,10.13556,-0.99817145,-1.0237526,43,579,593
0594,10.213182,-0.994849,-1.0336994,47,580,594
0595,9.518832,-0.93018824,-1.0720474,52,581,595
0598,10.476334,-1.0367672,-1.0160645,43,584,598
0599,10.5013685,-1.0462779,-0.984981,34,585,599
0600,10.518915,-1.0314798,-0.9859675,36,586,600
0601,10.530426,-1.0546339,-0.9902924,32,587,601
0603,9.398049,-0.5374745,-1.1630158,105,589,603
0604,9.50563,-0.33796307,-1.1901977,104,590,604
0605,9.31261,-0.4848218,-1.1772022,90,591,605
0606,9.399171,-0.4431406,-1.1764683,92,592,606
0607,10.592878,-1.0823169,-0.99061,32,593,607
0608,9.422001,-0.53308743,-1.178789,100,594,608
0609,9.698896,-0.40366733,-1.1665006,94,595,609
0613,10.820421,-1.1212869,-0.98689145,32,599,613
0614,10.918407,-1.1575248,-0.9752389,35,600,614
